plan_id,seed,split_level,K,distance,solve_time,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,mean_full_absorption_delta_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,mean_full_absorption_delta_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,mean_full_absorption_delta_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,mean_full_absorption_delta_d0.4
43,14,1,7,1239921.0,8.026920795440674,0.0,0.06238832375055285,0.0303446821878639,nan,0.0,0.09331269349845202,0.0442796478975799,nan,0.0,0.10654577620521895,0.05004304291368972,nan,0.0,0.12120743034055725,0.06717598382818346,nan
44,14,2,8,1249448.0,8.02936577796936,0.125,0.2066421568627451,0.16333019916324776,429.0,0.125,0.21899509803921569,0.17147849770436147,429.0,0.125,0.21899509803921569,0.17147849770436147,429.0,0.125,0.2642483660130719,0.1981768163377883,429.0
45,15,0,6,1224665.0,7.613387584686279,0.0,0.042488894871449724,0.008748076576616968,nan,0.0,0.05082222820478305,0.010672798561219193,nan,0.0,0.06787252658500471,0.021310501357912414,nan,0.0,0.06787252658500471,0.021310501357912414,nan
46,15,1,7,1239374.0,7.619917631149292,0.0,0.06458401438378555,0.026606273200074214,nan,0.0,0.09569303694017653,0.038535099242273926,nan,0.0,0.11618993135011442,0.05001313306272665,nan,0.0,0.13575514874141875,0.06559970045530664,nan
47,15,2,8,1262468.0,7.6469566822052,0.125,0.21596824942791762,0.16612676562857354,10055.0,0.125,0.23570509153318076,0.17533552341012418,10055.0,0.25,0.3867813215102975,0.31485917049688966,7210.5,0.375,0.5627002288329519,0.4935898396128806,6023.333333333333
48,16,0,6,1229362.0,6.986821889877319,0.0,0.0784939401644207,0.02712284122495959,nan,0.0,0.09451224680057631,0.02704630962054323,nan,0.0,0.10377150605983558,0.03134695750982187,nan,0.0,0.12027714213068906,0.040262798711508466,nan
49,16,1,7,1244289.0,6.990942478179932,0.0,0.07349170026515564,0.02831307776438765,nan,0.0,0.08815335440049399,0.026711807253517905,nan,0.0,0.10360865932948313,0.034805522814841984,nan,0.0,0.14035450946206096,0.0628694324246802,nan
50,16,2,8,1250175.0,6.995426416397095,0.0,0.08493862266493171,0.03352726414576477,nan,0.0,0.09813306710937617,0.037908364411958204,nan,0.125,0.2300775115538206,0.1645720733738038,1560.0,0.125,0.268073409760548,0.19371302926934192,1560.0
51,17,0,6,1227382.0,7.57659912109375,0.0,0.04842105263157895,0.024345431999606662,nan,0.0,0.08081756679279899,0.03518730413003094,nan,0.0,0.0998807476206857,0.040715741335486784,nan,0.0,0.10654741428735237,0.045463112547839794,nan
52,17,1,7,1237057.0,7.586116075515747,0.0,0.1336842105263158,0.09213526038582774,nan,0.0,0.1787262273330385,0.10895840640643865,nan,0.0,0.1871295886775763,0.11627077760899134,nan,0.0,0.20696152145068555,0.11936005386762463,nan
53,17,2,8,1253972.0,7.585003852844238,0.125,0.19182662538699688,0.15834408293745786,5007.0,0.125,0.21888544891640868,0.1707067979845449,5007.0,0.25,0.3578173374613003,0.30741748997759877,3727.5,0.375,0.513328173374613,0.44994086024968744,5065.0
54,18,0,6,1233916.0,3.483630418777466,0.0,0.08502652268636923,0.028654770266522054,nan,0.0,0.11149711092166333,0.03865744162843127,nan,0.0,0.1207563701809226,0.040875720244225415,nan,0.0,0.14559533958510942,0.05964496344925696,nan
55,18,1,7,1236095.0,3.503962516784668,0.0,0.07307347181296761,0.030025308319363123,nan,0.0,0.08701905004426012,0.033544882191112575,nan,0.0,0.10335891932530587,0.03718192105795164,nan,0.0,0.1326858015933646,0.05035425835474792,nan
56,18,2,8,1244158.0,3.512005567550659,0.125,0.20843900966183573,0.15659750237998504,1432.0,0.125,0.21538345410628018,0.16452668091638817,1432.0,0.125,0.23552234299516908,0.16379114642799325,1432.0,0.125,0.2587711352657005,0.17662775118576193,1432.0
57,19,0,6,1221260.0,8.028862237930298,0.0,0.1761904761904762,0.14054746132099608,nan,0.0,0.2459511077158136,0.17221781559824167,nan,0.0,0.3071810542398778,0.2028453619857344,nan,0.0,0.38812494694847627,0.26274572519206935,nan
58,19,1,7,1233498.0,8.033366680145264,0.14285714285714285,0.29523809523809524,0.26462486159328086,34.0,0.14285714285714285,0.35537305831423477,0.2985519807425811,34.0,0.2857142857142857,0.44721161191749426,0.40058723287764614,19482.5,0.2857142857142857,0.519993451926225,0.46361587717449587,19482.5
59,19,2,8,1257809.0,8.03866720199585,0.375,0.43118686868686873,0.413075547869253,5616.666666666667,0.375,0.45684789067142006,0.43815241057050003,5487.333333333333,0.375,0.5115121806298276,0.4731347401488111,5487.333333333333,0.375,0.6116257108904168,0.5632131555084746,5067.666666666667
