plan_a,seed_a,split_a,plan_b,seed_b,split_b,K,distance_a,distance_b,relative_cost_gap,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_gap,absorbed_customer_frac_a,absorbed_customer_frac_b,abs_absorbed_customer_gap,absorbed_workload_frac_a,absorbed_workload_frac_b,abs_absorbed_workload_gap
1,0,1,16,5,1,7,1237003.0,1232474.0,0.003674722549928031,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.2162651358303532,0.18454221852391187,0.2980151459085999,0.16640678360473812,0.13160836230386178
1,0,1,19,6,1,7,1237003.0,1256124.0,0.015457521121614094,0.05,0.14285714285714285,0.0,0.14285714285714285,0.2704703128044089,0.07924558076472388,0.19122473203968504,0.2106736376236337,0.021326023814312433,0.18934761380932127
1,0,1,19,6,1,7,1237003.0,1256124.0,0.015457521121614094,0.1,0.14285714285714285,0.0,0.14285714285714285,0.3215588378059774,0.08718208870123181,0.23437674910474557,0.25275679562758113,0.028361135995831004,0.22439565963175012
1,0,1,19,6,1,7,1237003.0,1256124.0,0.015457521121614094,0.2,0.14285714285714285,0.0,0.14285714285714285,0.3410393572864968,0.09558545004576964,0.2454539072407272,0.2601465798703292,0.03323985516026445,0.22690672471006473
1,0,1,19,6,1,7,1237003.0,1256124.0,0.015457521121614094,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.260700618920337,0.14010673543392804,0.2980151459085999,0.1882812118025698,0.1097339341060301
1,0,1,22,7,1,7,1237003.0,1241486.0,0.0036240817524290565,0.05,0.14285714285714285,0.14285714285714285,0.0,0.2704703128044089,0.1907330827067669,0.07973723009764203,0.2106736376236337,0.15961746093617898,0.05105617668745471
1,0,1,22,7,1,7,1237003.0,1241486.0,0.0036240817524290565,0.1,0.14285714285714285,0.14285714285714285,0.0,0.3215588378059774,0.20438387635756056,0.11717496144841683,0.25275679562758113,0.1699053017096698,0.08285149391791133
1,0,1,22,7,1,7,1237003.0,1241486.0,0.0036240817524290565,0.2,0.14285714285714285,0.14285714285714285,0.0,0.3410393572864968,0.2198391812865497,0.12120017599994712,0.2601465798703292,0.17065179486558843,0.08949478500474076
1,0,1,22,7,1,7,1237003.0,1241486.0,0.0036240817524290565,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.2198391812865497,0.18096817306771537,0.2980151459085999,0.17274539092470173,0.12526975498389817
1,0,1,25,8,1,7,1237003.0,1240503.0,0.0028294191687489845,0.05,0.14285714285714285,0.14285714285714285,0.0,0.2704703128044089,0.2808217260969987,0.010351413292589762,0.2106736376236337,0.22419083450662544,0.013517196882991744
1,0,1,25,8,1,7,1237003.0,1240503.0,0.0028294191687489845,0.1,0.14285714285714285,0.14285714285714285,0.0,0.3215588378059774,0.3013186205069366,0.020240217299040797,0.25275679562758113,0.26015681035251115,0.007400014724930015
1,0,1,25,8,1,7,1237003.0,1240503.0,0.0028294191687489845,0.2,0.14285714285714285,0.14285714285714285,0.0,0.3410393572864968,0.31686483899433154,0.02417451829216527,0.2601465798703292,0.2756851875087928,0.015538607638463597
1,0,1,25,8,1,7,1237003.0,1240503.0,0.0028294191687489845,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.34030579432383173,0.06050156003043333,0.2980151459085999,0.27629458254049855,0.021720563368101353
1,0,1,28,9,1,7,1237003.0,1237319.0,0.000255456130664194,0.05,0.14285714285714285,0.0,0.14285714285714285,0.2704703128044089,0.1336842105263158,0.13678610227809312,0.2106736376236337,0.09213526038582774,0.11853837723780596
1,0,1,28,9,1,7,1237003.0,1237319.0,0.000255456130664194,0.1,0.14285714285714285,0.0,0.14285714285714285,0.3215588378059774,0.17301194161875277,0.1485468961872246,0.25275679562758113,0.10538697783501008,0.14736981779257105
1,0,1,28,9,1,7,1237003.0,1237319.0,0.000255456130664194,0.2,0.14285714285714285,0.0,0.14285714285714285,0.3410393572864968,0.1871295886775763,0.15390976860892053,0.2601465798703292,0.11627077760899134,0.14387580226133784
1,0,1,28,9,1,7,1237003.0,1237319.0,0.000255456130664194,0.4,0.14285714285714285,0.0,0.14285714285714285,0.40080735435426507,0.20696152145068555,0.1938458329035795,0.2980151459085999,0.11949300607130742,0.17852213983729248
1,0,1,31,10,1,7,1237003.0,1237016.0,1.0509271198210514e-05,0.05,0.14285714285714285,0.14285714285714285,0.0,0.2704703128044089,0.3488958970315815,0.0784255842271726,0.2106736376236337,0.2890289621553189,0.07835532453168523
1,0,1,31,10,1,7,1237003.0,1237016.0,1.0509271198210514e-05,0.1,0.14285714285714285,0.14285714285714285,0.0,0.3215588378059774,0.39960066406425276,0.07804182625827538,0.25275679562758113,0.3048097300665509,0.052052934438969745
1,0,1,31,10,1,7,1237003.0,1237016.0,1.0509271198210514e-05,0.2,0.14285714285714285,0.14285714285714285,0.0,0.3410393572864968,0.445307642507804,0.10426828522130721,0.2601465798703292,0.33266797186888575,0.07252139199855656
1,0,1,31,10,1,7,1237003.0,1237016.0,1.0509271198210514e-05,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.5043060244692843,0.10349867011501923,0.2980151459085999,0.3815055746945807,0.08349042878598079
1,0,1,34,11,1,7,1237003.0,1242427.0,0.0043847913060841405,0.05,0.14285714285714285,0.0,0.14285714285714285,0.2704703128044089,0.07340815807635029,0.19706215472805863,0.2106736376236337,0.0218854151646309,0.18878822245900279
1,0,1,34,11,1,7,1237003.0,1242427.0,0.0043847913060841405,0.1,0.14285714285714285,0.0,0.14285714285714285,0.3215588378059774,0.08134466601285821,0.24021417179311916,0.25275679562758113,0.025894547866049306,0.22686224776153183
1,0,1,34,11,1,7,1237003.0,1242427.0,0.0043847913060841405,0.2,0.14285714285714285,0.14285714285714285,0.0,0.3410393572864968,0.25338709091569506,0.08765226637080176,0.2601465798703292,0.1790439826535761,0.08110259721675309
1,0,1,34,11,1,7,1237003.0,1242427.0,0.0043847913060841405,0.4,0.14285714285714285,0.14285714285714285,0.0,0.40080735435426507,0.25338709091569506,0.14742026343857,0.2980151459085999,0.18018148683557675,0.11783365907302315
1,0,1,37,12,1,7,1237003.0,1238196.0,0.000964427733805011,0.05,0.14285714285714285,0.0,0.14285714285714285,0.2704703128044089,0.14351479722323712,0.1269555155811718,0.2106736376236337,0.08518803411527136,0.12548560350836235
