plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
2,0,2,8,1255447.0,0.2,7,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,2,89
2,0,2,8,1255447.0,0.4,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
2,0,2,8,1255447.0,0.4,1,18,191301.0,225.59999999999997,0,1,6,0.3333333333333333,31.2,0.13829787234042554,,35,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
2,0,2,8,1255447.0,0.4,2,19,124192.0,207.40000000000003,0,1,5,0.2631578947368421,29.200000000000003,0.1407907425265188,,16,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
2,0,2,8,1255447.0,0.4,3,15,285447.0,210.0,0,1,3,0.2,28.5,0.1357142857142857,,5,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
2,0,2,8,1255447.0,0.4,4,22,204741.0,225.9,0,1,10,0.45454545454545453,74.0,0.32757857459052675,,77,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
2,0,2,8,1255447.0,0.4,5,22,393145.0,225.0,0,1,3,0.13636363636363635,15.6,0.06933333333333333,,10,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46
2,0,2,8,1255447.0,0.4,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,4,72
2,0,2,8,1255447.0,0.4,7,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,3,89
3,1,0,6,1229609.0,0.05,0,1,12272.0,10.899999999999999,0,1,0,0.0,0.0,0.0,,0,89
3,1,0,6,1229609.0,0.05,1,18,191848.0,225.4,0,1,1,0.05555555555555555,3.0,0.013309671694764862,,1,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
3,1,0,6,1229609.0,0.05,2,21,135173.0,228.5,0,1,2,0.09523809523809523,4.9,0.021444201312910287,,3,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
3,1,0,6,1229609.0,0.05,3,17,295643.0,210.8,0,1,1,0.058823529411764705,2.0,0.009487666034155597,,1,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
