plan_id,seed,K,distance,n_outage_pairs,n_d0.1,mean_extra_units_d0.1,p_need_two_d0.1,p_need_at_most_one_d0.1,p_zero_d0.1,mean_absorbed_workload_frac_d0.1,mean_residual_workload_frac_d0.1,both_sub_n_d0.1,both_sub_mean_extra_units_d0.1,both_sub_p_need_two_d0.1,both_sub_p_need_at_most_one_d0.1,both_sub_p_zero_d0.1,both_sub_mean_absorbed_workload_frac_d0.1,both_sub_mean_residual_workload_frac_d0.1
21,10,8,1274465.0,28,28.0,1.3571428571428572,0.35714285714285715,0.6428571428571429,0.0,0.29528835973557654,0.7047116402644236,10.0,2.0,1.0,0.0,0.0,0.1261353926861902,0.8738646073138098
22,11,7,1240913.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.16043132007614366,0.8395686799238565,10.0,2.0,1.0,0.0,0.0,0.09324929905746429,0.9067507009425355
23,11,8,1271035.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.2820645429083794,0.7179354570916205,15.0,1.6,0.6,0.4,0.0,0.19767657165169886,0.8023234283483011
24,12,7,1261586.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.11145452766050055,0.8885454723394994,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.09722916927663722,0.9027708307233627
25,12,8,1270292.0,28,28.0,1.3571428571428572,0.35714285714285715,0.6428571428571429,0.0,0.2930239624479697,0.7069760375520303,15.0,1.6,0.6,0.4,0.0,0.19326467005886513,0.806735329941135
26,13,7,1251866.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.11864167859043048,0.8813583214095696,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.10064106641990521,0.8993589335800948
27,13,8,1270571.0,28,28.0,1.4285714285714286,0.4642857142857143,0.5357142857142857,0.03571428571428571,0.26925165042775817,0.7307483495722417,15.0,1.8666666666666667,0.8666666666666667,0.13333333333333333,0.0,0.1536901048641842,0.8463098951358158
28,14,7,1244175.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.2162732491069144,0.7837267508930856,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.16608507332089897,0.8339149266791012
29,14,8,1263846.0,28,28.0,1.3214285714285714,0.35714285714285715,0.6428571428571429,0.03571428571428571,0.32158578651891734,0.6784142134810828,10.0,2.0,1.0,0.0,0.0,0.13707697929008147,0.8629230207099186
30,15,7,1249358.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.21435969461989984,0.7856403053801002,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.21435969461989984,0.7856403053801002
31,15,8,1266770.0,28,28.0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,0.3138835147176063,0.6861164852823937,10.0,2.0,1.0,0.0,0.0,0.1543845955823039,0.8456154044176962
32,16,7,1244383.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.0837203146440318,0.9162796853559683,10.0,2.0,1.0,0.0,0.0,0.061789694176955054,0.9382103058230451
33,16,8,1270167.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.29769483706120725,0.7023051629387925,15.0,1.6,0.6,0.4,0.0,0.21549442030964416,0.7845055796903558
34,17,7,1248876.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.14855439481520957,0.8514456051847903,10.0,2.0,1.0,0.0,0.0,0.1043459108132198,0.8956540891867804
35,17,8,1266542.0,28,28.0,1.3928571428571428,0.39285714285714285,0.6071428571428571,0.0,0.2788354545198001,0.7211645454802001,15.0,1.7333333333333334,0.7333333333333333,0.26666666666666666,0.0,0.17800920851823412,0.8219907914817658
36,18,7,1244191.0,21,21.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.13364439522677699,0.8663556047732228,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.08855071397750383,0.9114492860224962
37,18,8,1260993.0,28,28.0,1.25,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.32958491312743426,0.6704150868725656,10.0,2.0,1.0,0.0,0.0,0.1458912582466096,0.8541087417533906
38,19,7,1244383.0,21,21.0,1.8571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.11980789567941107,0.8801921043205889,15.0,1.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,0.09293623369403799,0.9070637663059621
39,19,8,1244084.0,28,28.0,1.3571428571428572,0.35714285714285715,0.6428571428571429,0.0,0.25636484485304545,0.7436351551469546,10.0,2.0,1.0,0.0,0.0,0.12525413053923137,0.8747458694607687
