plan_id,seed,K,distance,delta_frac,lost_a,lost_b,lost_a_len,lost_b_len,lost_a_workload,lost_b_workload,lost_a_substantive,lost_b_substantive,both_substantive,extra_units,need_two_units,need_at_most_one,fully_absorbed,total_customers,absorbed_customers,absorbed_customer_frac,total_delivery,total_pickup,total_workload,absorbed_workload,absorbed_workload_frac,residual_delivery_at_max_work,residual_pickup_at_max_work,residual_workload,residual_workload_frac,one_unit_capacity_feasible,terminal_dp_states,lost_route_a,lost_route_b
0,0,7,1246180.0,0.2,1,6,8,23,80.0,227.40000000000003,1,1,1,2,1,0,0,31,6,0.1935483870967742,203.5,103.9,307.3999999999999,57.40000000000001,0.18672739102147048,164.3,85.7,249.99999999999991,0.8132726089785295,0,16,50 90 33 91 15 49 20 13,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
0,0,7,1246180.0,0.2,2,3,18,14,225.4,194.6,1,1,1,2,1,0,0,32,1,0.03125,287.7,132.3,420.0,3.5999999999999943,0.008571428571428558,285.5,130.9,416.4,0.9914285714285713,0,2,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93,25 9 55 14 54 76 92 40 42 65 52 3 60 26
0,0,7,1246180.0,0.2,2,4,18,18,225.4,210.89999999999998,1,1,1,2,1,0,0,36,9,0.25,284.6,151.7,436.3,114.89999999999999,0.2633509053403621,212.7,108.7,321.40000000000003,0.7366490946596379,0,32,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84
0,0,7,1246180.0,0.2,2,5,18,7,225.4,62.099999999999994,1,0,0,1,0,1,0,25,9,0.36,186.8,100.7,287.5,84.19999999999999,0.29286956521739127,135.8,67.5,203.3,0.7071304347826087,1,32,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93,61 21 36 45 27 88 18
0,0,7,1246180.0,0.2,2,6,18,23,225.4,227.40000000000003,1,1,1,2,1,0,0,41,3,0.07317073170731707,296.7,156.1,452.79999999999995,26.80000000000001,0.059187279151943495,280.6,145.4,425.99999999999994,0.9408127208480566,0,22,63 73 57 79 39 23 11 70 19 5 4 28 58 94 38 31 78 93,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
0,0,7,1246180.0,0.2,3,4,14,18,194.6,210.89999999999998,1,1,1,2,1,0,0,32,8,0.25,273.5,132.0,405.49999999999994,94.8,0.2337854500616523,214.2,96.5,310.69999999999993,0.7662145499383477,0,16,25 9 55 14 54 76 92 40 42 65 52 3 60 26,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84
0,0,7,1246180.0,0.2,3,5,14,7,194.6,62.099999999999994,1,0,0,1,0,1,0,21,7,0.3333333333333333,175.7,81.0,256.7,62.099999999999994,0.2419166342033502,138.3,56.3,194.6,0.7580833657966498,1,16,25 9 55 14 54 76 92 40 42 65 52 3 60 26,61 21 36 45 27 88 18
0,0,7,1246180.0,0.2,3,6,14,23,194.6,227.40000000000003,1,1,1,2,1,0,0,37,2,0.05405405405405406,285.6,136.4,421.9999999999999,8.300000000000011,0.019668246445497663,280.9,132.8,413.6999999999999,0.9803317535545023,0,11,25 9 55 14 54 76 92 40 42 65 52 3 60 26,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
0,0,7,1246180.0,0.2,4,5,18,7,210.89999999999998,62.099999999999994,1,0,0,1,0,1,0,25,8,0.32,172.6,100.4,273.0,82.29999999999998,0.3014652014652014,119.0,71.7,190.70000000000002,0.6985347985347986,1,16,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84,61 21 36 45 27 88 18
0,0,7,1246180.0,0.2,4,6,18,23,210.89999999999998,227.40000000000003,1,1,1,2,1,0,0,41,9,0.21951219512195122,282.5,155.8,438.29999999999995,109.39999999999999,0.24960073009354325,212.9,116.0,328.9,0.7503992699064568,0,17,2 68 37 17 43 44 35 98 81 16 69 7 41 99 95 97 30 84,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
0,0,7,1246180.0,0.2,5,6,7,23,62.099999999999994,227.40000000000003,0,1,0,1,0,1,0,30,9,0.3,184.7,104.8,289.5,70.4,0.24317789291882558,142.6,76.5,219.1,0.7568221070811744,1,16,61 21 36 45 27 88 18,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
1,0,8,1270239.0,0.2,0,1,14,8,194.6,69.0,1,0,0,1,0,1,0,22,8,0.36363636363636365,179.2,84.4,263.6,69.0,0.26176024279210924,138.3,56.3,194.60000000000002,0.7382397572078908,1,32,26 60 3 52 65 42 40 92 76 54 14 55 9 25,18 17 43 30 27 45 36 21
1,0,8,1270239.0,0.2,0,2,14,16,194.6,193.10000000000002,1,1,1,2,1,0,0,30,7,0.23333333333333334,263.0,124.7,387.7,81.19999999999999,0.20944028888315705,211.0,95.5,306.5,0.790559711116843,0,16,26 60 3 52 65 42 40 92 76 54 14 55 9 25,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,8,1270239.0,0.2,0,3,14,5,194.6,45.1,1,0,0,1,0,1,0,19,4,0.21052631578947367,171.6,68.1,239.7,34.800000000000004,0.1451814768460576,146.8,58.1,204.89999999999998,0.8548185231539424,1,6,26 60 3 52 65 42 40 92 76 54 14 55 9 25,50 90 33 91 15
1,0,8,1270239.0,0.2,0,4,14,5,194.6,56.7,1,0,0,1,0,1,0,19,5,0.2631578947368421,176.3,75.0,251.3,56.7,0.22562674094707522,138.3,56.3,194.60000000000002,0.7743732590529249,1,16,26 60 3 52 65 42 40 92 76 54 14 55 9 25,13 20 49 61 89
1,0,8,1270239.0,0.2,0,5,14,11,194.6,127.60000000000001,1,1,1,2,1,0,0,25,5,0.2,219.4,102.8,322.2,54.39999999999999,0.16883923029174425,186.7,81.1,267.8,0.8311607697082558,0,8,26 60 3 52 65 42 40 92 76 54 14 55 9 25,85 59 96 80 86 6 83 53 22 67 62
1,0,8,1270239.0,0.2,0,6,14,23,194.6,227.4,1,1,1,2,1,0,0,37,2,0.05405405405405406,285.6,136.4,422.0,8.3,0.019668246445497632,280.9,132.8,413.7,0.9803317535545023,0,11,26 60 3 52 65 42 40 92 76 54 14 55 9 25,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,8,1270239.0,0.2,0,7,14,18,194.6,225.39999999999998,1,1,1,2,1,0,0,32,1,0.03125,287.7,132.3,420.0,3.5999999999999943,0.008571428571428558,285.5,130.9,416.4,0.9914285714285713,0,2,26 60 3 52 65 42 40 92 76 54 14 55 9 25,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
1,0,8,1270239.0,0.2,1,2,8,16,69.0,193.10000000000002,0,1,0,1,0,1,0,24,10,0.4166666666666667,165.6,96.5,262.1,98.7,0.37657382678367035,105.0,58.4,163.40000000000003,0.6234261732163298,1,32,18 17 43 30 27 45 36 21,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2
1,0,8,1270239.0,0.2,1,3,8,5,69.0,45.1,0,0,0,1,0,1,0,13,7,0.5384615384615384,74.2,39.9,114.1,77.8,0.6818580192813322,27.1,9.2,36.3,0.31814198071866784,1,1,18 17 43 30 27 45 36 21,50 90 33 91 15
1,0,8,1270239.0,0.2,1,4,8,5,69.0,56.7,0,0,0,0,0,1,1,13,13,1.0,78.9,46.8,125.69999999999999,125.7,1.0000000000000002,0.0,0.0,0.0,0.0,1,0,18 17 43 30 27 45 36 21,13 20 49 61 89
1,0,8,1270239.0,0.2,1,5,8,11,69.0,127.60000000000001,0,1,0,1,0,1,0,19,12,0.631578947368421,122.0,74.6,196.60000000000002,121.89999999999999,0.6200406917599185,50.0,24.7,74.70000000000003,0.3799593082400815,1,1,18 17 43 30 27 45 36 21,85 59 96 80 86 6 83 53 22 67 62
1,0,8,1270239.0,0.2,1,6,8,23,69.0,227.4,0,1,0,1,0,1,0,31,10,0.3225806451612903,188.2,108.2,296.40000000000003,77.3,0.26079622132253705,142.6,76.5,219.10000000000002,0.7392037786774629,1,32,18 17 43 30 27 45 36 21,72 46 56 1 51 34 100 48 47 74 24 32 87 77 12 82 64 10 71 66 29 8 75
1,0,8,1270239.0,0.2,1,7,8,18,69.0,225.39999999999998,0,1,0,1,0,1,0,26,10,0.38461538461538464,190.3,104.1,294.4,91.1,0.3094429347826087,135.8,67.5,203.29999999999998,0.6905570652173914,1,64,18 17 43 30 27 45 36 21,63 73 57 79 39 23 11 70 19 5 38 4 28 58 94 31 78 93
1,0,8,1270239.0,0.2,2,3,16,5,193.10000000000002,45.1,1,0,0,1,0,1,0,21,7,0.3333333333333333,158.0,80.2,238.20000000000002,91.6,0.3845507976490344,98.9,47.7,146.60000000000002,0.6154492023509657,1,16,88 84 97 44 95 99 41 69 7 16 81 98 35 68 37 2,50 90 33 91 15
