Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-1,traffic_mild,tempo2,15,0.0,0.8666666666666667,53.07692307692308
Dethloff,CON3-1,traffic_mild,tempo_flat,15,0.0,0.0,
Dethloff,CON3-1,traffic_mild,cusum_cal,15,0.0,0.8666666666666667,53.84615384615385
Dethloff,CON3-1,traffic_mild,cusum_match,15,0.0,0.2,71.66666666666667
Dethloff,CON3-1,traffic_mild,ph_match,15,0.0,0.0,
Dethloff,CON3-1,traffic_mild,esr_match,15,0.0,0.4666666666666667,35.714285714285715
Dethloff,CON3-1,traffic_mild,ecusum_match,15,0.0,0.4,37.666666666666664
Dethloff,CON3-1,traffic_mild,bonferroni,15,0.0,0.9333333333333333,45.42857142857143
Dethloff,CON3-1,traffic_mild,periodic,15,0.0,1.0,34.0
Dethloff,CON3-1,traffic_mild,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,traffic_severe,tempo2,15,0.0,1.0,7.066666666666666
Dethloff,CON3-1,traffic_severe,tempo_flat,15,0.0,1.0,18.533333333333335
Dethloff,CON3-1,traffic_severe,cusum_cal,15,0.0,1.0,11.733333333333333
Dethloff,CON3-1,traffic_severe,cusum_match,15,0.0,1.0,24.666666666666668
Dethloff,CON3-1,traffic_severe,ph_match,15,0.0,1.0,39.266666666666666
Dethloff,CON3-1,traffic_severe,esr_match,15,0.0,1.0,8.333333333333334
Dethloff,CON3-1,traffic_severe,ecusum_match,15,0.0,1.0,7.066666666666666
Dethloff,CON3-1,traffic_severe,bonferroni,15,0.0,1.0,15.333333333333334
Dethloff,CON3-1,traffic_severe,periodic,15,0.0,1.0,34.0
Dethloff,CON3-1,traffic_severe,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,demand_mild,tempo2,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,tempo_flat,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,cusum_cal,15,0.0,0.2,35.666666666666664
Dethloff,CON3-1,demand_mild,cusum_match,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,ph_match,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,esr_match,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,ecusum_match,15,0.0,0.06666666666666667,29.0
Dethloff,CON3-1,demand_mild,bonferroni,15,0.0,0.4,47.333333333333336
