Route,Metro,n_stops,scenario,monitor,false_rate,detect_rate,mean_delay
RouteID_0085,DSE,171,traffic_mild,cusum_match,0.0,1.0,332.6666666666667
RouteID_0085,DSE,171,traffic_mild,ph_match,0.0,0.16666666666666666,213.5
RouteID_0085,DSE,171,traffic_severe,tempo2,0.16666666666666666,0.8333333333333334,16.5
RouteID_0085,DSE,171,traffic_severe,cusum_match,0.16666666666666666,0.8333333333333334,77.4
RouteID_0085,DSE,171,traffic_severe,ph_match,0.16666666666666666,0.8333333333333334,92.9
RouteID_0085,DSE,171,demand_mild,tempo2,0.08333333333333333,0.75,318.6666666666667
RouteID_0085,DSE,171,demand_mild,cusum_match,0.08333333333333333,0.16666666666666666,66.5
RouteID_0085,DSE,171,demand_mild,ph_match,0.08333333333333333,0.16666666666666666,66.5
RouteID_0085,DSE,171,demand_severe,tempo2,0.08333333333333333,0.9166666666666666,53.63636363636363
RouteID_0085,DSE,171,demand_severe,cusum_match,0.0,1.0,183.58333333333334
RouteID_0085,DSE,171,demand_severe,ph_match,0.0,0.8333333333333334,326.3
RouteID_0085,DSE,171,dwell_mild,tempo2,0.0,1.0,40.416666666666664
RouteID_0085,DSE,171,dwell_mild,cusum_match,0.0,1.0,183.83333333333334
RouteID_0085,DSE,171,dwell_mild,ph_match,0.0,0.6666666666666666,433.625
RouteID_0085,DSE,171,dwell_severe,tempo2,0.0,1.0,6.25
RouteID_0085,DSE,171,dwell_severe,cusum_match,0.0,1.0,55.833333333333336
RouteID_0085,DSE,171,dwell_severe,ph_match,0.0,1.0,70.91666666666667
RouteID_0085,DSE,171,accident_mild,tempo2,0.0,0.3333333333333333,289.75
RouteID_0085,DSE,171,accident_mild,cusum_match,0.0,0.3333333333333333,289.75
RouteID_0085,DSE,171,accident_mild,ph_match,0.0,0.3333333333333333,289.75
RouteID_0085,DSE,171,accident_severe,tempo2,0.0,0.75,490.22222222222223
RouteID_0085,DSE,171,accident_severe,cusum_match,0.0,0.3333333333333333,320.5
RouteID_0085,DSE,171,accident_severe,ph_match,0.0,0.4166666666666667,322.4
