sweep,scenario,x,seed,none_cost,none_fail,none_ho,v1_myo_cost,v1_myo_fail,v1_myo_ho,v1_myo_saving,v1_myo_gap,v1_tun_cost,v1_tun_fail,v1_tun_ho,v1_tun_saving,v1_tun_gap,fb_tun_cost,fb_tun_fail,fb_tun_ho,fb_tun_saving,fb_tun_gap,v2_lsm_cost,v2_lsm_fail,v2_lsm_ho,v2_lsm_saving,v2_lsm_gap,oracle_cost,oracle_fail,oracle_ho,oracle_saving
cost_ratio,milk_run,5.0,0,0.5145833333333333,0.10291666666666667,0.0,0.33366666666666667,0.0004166666666666667,0.33158333333333334,35.157894736842096,56.052631578947384,0.21875,0.017916666666666668,0.12916666666666668,57.48987854251012,28.13765182186235,0.21875,0.017916666666666668,0.12916666666666668,57.48987854251012,28.13765182186235,0.18841666666666668,0.007916666666666667,0.14883333333333335,63.38461538461538,20.769230769230774,0.10291666666666667,0.0,0.10291666666666667,80.0
cost_ratio,milk_run,5.0,1,0.505,0.101,0.0,0.3248333333333333,0.0003333333333333333,0.32316666666666666,35.676567656765684,55.40429042904289,0.2045,0.013083333333333334,0.13908333333333334,59.5049504950495,25.618811881188112,0.2045,0.013083333333333334,0.13908333333333334,59.5049504950495,25.618811881188112,0.18308333333333332,0.00825,0.14183333333333334,63.74587458745875,20.317656765676563,0.101,0.0,0.101,80.00000000000001
cost_ratio,milk_run,5.0,2,0.49875,0.09975,0.0,0.32375,0.0004166666666666667,0.32166666666666666,35.08771929824562,56.14035087719298,0.1945,0.01,0.1445,61.00250626566416,23.7468671679198,0.1945,0.01,0.1445,61.00250626566416,23.7468671679198,0.17591666666666667,0.008583333333333333,0.133,64.72848788638262,19.08939014202172,0.09975,0.0,0.09975,80.00000000000001
cost_ratio,milk_run,5.0,3,0.50625,0.10125,0.0,0.31225,8.333333333333333e-05,0.31183333333333335,38.32098765432098,52.09876543209877,0.20683333333333334,0.015583333333333333,0.12891666666666668,59.144032921810705,26.06995884773663,0.20683333333333334,0.015583333333333333,0.12891666666666668,59.144032921810705,26.06995884773663,0.17833333333333334,0.00875,0.13458333333333333,64.77366255144032,19.03292181069959,0.10125,0.0,0.10125,80.0
cost_ratio,milk_run,5.0,4,0.5095833333333334,0.10191666666666667,0.0,0.34608333333333335,0.00016666666666666666,0.34525,32.08503679476697,59.89370400654129,0.20858333333333334,0.014083333333333333,0.13816666666666666,59.06786590351595,26.165167620605068,0.20858333333333334,0.014083333333333333,0.13816666666666666,59.06786590351595,26.165167620605068,0.18508333333333332,0.008,0.14508333333333334,63.6794766966476,20.400654129190507,0.10191666666666667,0.0,0.10191666666666667,80.0
cost_ratio,milk_run,10.0,0,1.0291666666666666,0.10291666666666667,0.0,0.4290833333333333,8.333333333333333e-05,0.42825,58.307692307692314,35.21367521367522,0.26908333333333334,0.007416666666666667,0.19491666666666665,73.85425101214575,17.939721097615838,0.26908333333333334,0.007416666666666667,0.19491666666666665,73.85425101214575,17.939721097615838,0.22066666666666668,0.004583333333333333,0.17483333333333334,78.5587044534413,12.71255060728745,0.10291666666666667,0.0,0.10291666666666667,90.0
cost_ratio,milk_run,10.0,1,1.01,0.101,0.0,0.45208333333333334,0.0,0.45208333333333334,55.23927392739274,38.62302896956361,0.24158333333333334,0.006333333333333333,0.17825,76.08085808580859,15.465713237990466,0.24158333333333334,0.006333333333333333,0.17825,76.08085808580859,15.465713237990466,0.20941666666666667,0.0035833333333333333,0.17358333333333334,79.26567656765677,11.927026035936926,0.101,0.0,0.101,90.0
cost_ratio,milk_run,10.0,2,0.9975,0.09975,0.0,0.4018333333333333,0.0,0.4018333333333333,59.715956558061826,33.648937157709085,0.24441666666666667,0.004,0.20441666666666666,75.49707602339181,16.114359974009098,0.24441666666666667,0.004,0.20441666666666666,75.49707602339181,16.114359974009098,0.20841666666666667,0.0036666666666666666,0.17175,79.10609857978278,12.104334911352453,0.09975,0.0,0.09975,90.0
cost_ratio,milk_run,10.0,3,1.0125,0.10125,0.0,0.4305833333333333,0.0,0.4305833333333333,57.47325102880658,36.14083219021491,0.2505833333333333,0.00575,0.19308333333333333,75.25102880658436,16.38774577046182,0.2505833333333333,0.00575,0.19308333333333333,75.25102880658436,16.38774577046182,0.21708333333333332,0.0035,0.18208333333333335,78.55967078189302,12.711476909007773,0.10125,0.0,0.10125,89.99999999999999
cost_ratio,milk_run,10.0,4,1.0191666666666668,0.10191666666666667,0.0,0.4419166666666667,8.333333333333333e-05,0.4410833333333333,56.639411283728535,37.06732079585718,0.248,0.004416666666666667,0.20383333333333334,75.66639411283728,15.926228763514127,0.248,0.004416666666666667,0.20383333333333334,75.66639411283728,15.926228763514127,0.21608333333333332,0.003,0.18608333333333332,78.79803761242846,12.446624875079493,0.10191666666666667,0.0,0.10191666666666667,90.0
