instance,source,profile,policy,repetition,seed,N,dimension,alpha,capacity,iterations,direction,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,cert_gate_seconds,full_solver_seconds,cert_solver_seconds,gate_speedup,solver_speedup,solver_speedup_with_prep,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,audit_checks,identity_pass
CON8-8,CON8-8.vrpspd,moderate,WDRO,1,962033,50000,10,0.9,262.62416,20,SLOPE,17240,0.7713457076566125,5671,7627,3942,3.1238399071925755,4.611600928074246,12,904.0121000000001,1336.9474647058826,82.31114740004523,22.601286600014646,82.48680289999902,22.77580719999969,3.641878838879548,3.621685158100572,3.6197340515308567,0.01227660000040487,0.10087799994463717,1.2703806244848888,1.6532420659989058,0.8835173244111778,4.043137829749432,1696,1
CON8-8,CON8-8.vrpspd,moderate,WDRO,2,972040,50000,10,0.9,262.62416,20,SLOPE,12727,0.7901312170975092,3698,6358,2671,3.199575705193683,4.819988999764281,12,902.5072,1335.4425647058824,62.483794900042994,14.93069740007013,62.6098009999987,15.052212200000213,4.184921388852842,4.159508261516391,4.156118526902561,0.01227660000040487,0.10087799994463717,1.2703806244848888,1.6532420659989058,0.8835173244111778,4.043137829749432,1696,1
CON8-9,CON8-9.vrpspd,moderate,WDRO,0,1002026,50000,10,0.9,229.12489499999998,20,SLOPE,15923,0.7173899390818314,5361,6062,4500,3.0681404257991582,4.717892356967908,12,917.8367000000001,1358.8976392941177,80.86990690010134,23.475203400243117,81.05627230000027,23.65075259999867,3.4449076125689215,3.427217461993359,3.4253933134357655,0.012594899999385234,0.09975276630108852,1.4475433446155412,1.933037438776275,0.8199363390773554,4.051589815539084,1435,1
CON8-9,CON8-9.vrpspd,moderate,WDRO,1,1012033,50000,10,0.9,229.12489499999998,20,SLOPE,17808,0.7144541778975741,5798,6925,5085,3.141790206648697,4.750056154537287,12,918.1654000000001,1359.2263392941177,88.0273048998497,28.402430699843535,88.21182559999943,28.59727269999894,3.099287727523075,3.08462371658269,3.083265775057435,0.012594899999385234,0.09975276630108852,1.4475433446155412,1.933037438776275,0.8199363390773554,4.051589815539084,1435,1
CON8-9,CON8-9.vrpspd,moderate,WDRO,2,1022040,50000,10,0.9,229.12489499999998,20,SLOPE,23320,0.7469554030874785,7684,9735,5901,3.1428816466552316,4.708233276157804,12,915.8128,1356.8737392941175,113.64247369995246,31.981972400049926,113.8846040999997,32.21741959999963,3.5533291154917968,3.5348766448074262,3.5334952796872985,0.012594899999385234,0.09975276630108852,1.4475433446155412,1.933037438776275,0.8199363390773554,4.051589815539084,1435,1
SCA3-0,SCA3-0.vrpspd,moderate,WDRO,0,1052026,50000,10,0.9,700.1325049999999,20,SLOPE,10869,0.5038181985463244,4974,502,5393,4.098445119146196,11.29809550096605,5,700.755,939.7390066666667,118.81145549992289,67.12487829983729,118.95688840000003,67.29494580000028,1.77000627053965,1.7676942448774442,1.767283574012231,0.015637599999536178,0.0996946912148442,1.333237591825673,1.6426422357897994,0.8568522281550002,4.058985095461842,833,1
SCA3-0,SCA3-0.vrpspd,moderate,WDRO,1,1062033,50000,10,0.9,700.1325049999999,20,SLOPE,10881,0.5367153754250529,5227,613,5041,4.05955334987593,11.306405661244371,5,700.755,939.7390066666667,111.07092160008324,62.44490110005063,111.21627960000114,62.621126000000004,1.778702818699687,1.7760185212894628,1.775575128852953,0.015637599999536178,0.0996946912148442,1.333237591825673,1.6426422357897994,0.8568522281550002,4.058985095461842,833,1
SCA3-0,SCA3-0.vrpspd,moderate,WDRO,2,1072040,50000,10,0.9,700.1325049999999,20,SLOPE,11299,0.5538543233914506,5723,535,5041,4.119656606779361,11.299584033985308,5,700.755,939.7390066666667,116.10955419993661,67.55488039993725,116.24302110000099,67.72713569999905,1.7187441308836138,1.7163433814018894,1.7159471842881195,0.015637599999536178,0.0996946912148442,1.333237591825673,1.6426422357897994,0.8568522281550002,4.058985095461842,833,1
SCA3-1,SCA3-1.vrpspd,moderate,WDRO,0,1102026,50000,10,0.9,656.628145,20,SLOPE,9522,0.5354967443814325,4742,357,4423,4.2652804032766225,11.108905692081496,5,747.0477999999999,1005.8438305882353,92.6719830999973,48.00580850014376,92.78922029999922,48.13382079999974,1.9304327121106561,1.9277343613661295,1.9271282429657244,0.015138999999180669,0.09993867562973295,1.3104386960567433,1.61146811561645,0.865606032126119,4.057819388434456,997,1
SCA3-1,SCA3-1.vrpspd,moderate,WDRO,1,1112033,50000,10,0.9,656.628145,20,SLOPE,10056,0.6010342084327764,5755,289,4012,4.30936754176611,11.000298329355608,5,742.9721999999999,1001.7682305882352,95.96114249993843,43.25569179987542,96.06347490000007,43.36902349999946,2.2184627850574525,2.215025083513842,2.214252145584304,0.015138999999180669,0.09993867562973295,1.3104386960567433,1.61146811561645,0.865606032126119,4.057819388434456,997,1
